Date,Open,High,Low,Close,Adj Close,Volume
2019-04-10,14000.000000,14400.000000,13950.000000,14250.000000,12770.743164,3682300
2019-04-11,14300.000000,14425.000000,13825.000000,13825.000000,12389.861328,3920400
2019-04-12,13575.000000,13775.000000,12850.000000,13050.000000,11695.312500,5512400
2019-04-15,13000.000000,13425.000000,12550.000000,12825.000000,11493.668945,11696700
2019-04-16,12850.000000,13400.000000,12850.000000,13325.000000,11941.765625,8802900
2019-04-17,13325.000000,13325.000000,13325.000000,13325.000000,11941.765625,0
2019-04-18,13725.000000,13925.000000,13525.000000,13725.000000,12300.241211,9302200
2019-04-19,13725.000000,13725.000000,13725.000000,13725.000000,12300.241211,0
2019-04-22,13725.000000,13725.000000,13075.000000,13175.000000,11807.335938,4633400
2019-04-23,13050.000000,13750.000000,13050.000000,13725.000000,12300.241211,3352100
2019-04-24,13700.000000,13700.000000,13250.000000,13450.000000,12053.788086,5079300
2019-04-25,13300.000000,13350.000000,13000.000000,13350.000000,11964.169922,7886400
2019-04-26,13125.000000,13725.000000,13125.000000,13700.000000,12277.836914,9318600
2019-04-29,13575.000000,13625.000000,13400.000000,13525.000000,12121.002930,5752200
2019-04-30,13500.000000,13650.000000,13425.000000,13500.000000,12098.597656,5763000
2019-05-01,13500.000000,13500.000000,13500.000000,13500.000000,12098.597656,0
2019-05-02,13125.000000,13250.000000,12800.000000,12900.000000,11560.881836,9302100
2019-05-03,12900.000000,12900.000000,11725.000000,12250.000000,10978.357422,36269400
2019-05-06,11750.000000,11750.000000,11000.000000,11150.000000,9992.544922,18204800
2019-05-07,11200.000000,11975.000000,11200.000000,11900.000000,10664.690430,17644300
2019-05-08,11600.000000,11800.000000,11225.000000,11325.000000,10149.379883,18065500
2019-05-09,11225.000000,11250.000000,10900.000000,10900.000000,9768.498047,14214100
2019-05-10,11000.000000,11325.000000,10075.000000,11150.000000,9992.544922,24358100
2019-05-13,11000.000000,11025.000000,10475.000000,10475.000000,9387.617188,8565500
2019-05-14,10250.000000,11000.000000,10200.000000,10675.000000,9566.854492,9073700
2019-05-15,10675.000000,10875.000000,10525.000000,10550.000000,9454.830078,12377500
2019-05-16,10500.000000,10925.000000,10375.000000,10700.000000,9589.259766,9123200
2019-05-17,10800.000000,10875.000000,10500.000000,10550.000000,9454.830078,7350100
2019-05-20,10525.000000,11325.000000,10325.000000,11250.000000,10082.165039,6658300
2019-05-21,11025.000000,11250.000000,10725.000000,10825.000000,9701.284180,10817900
2019-05-22,10600.000000,10825.000000,10500.000000,10825.000000,9701.284180,2243700
2019-05-23,10825.000000,11100.000000,10625.000000,10900.000000,9768.498047,6045300
2019-05-24,11025.000000,11075.000000,10750.000000,10800.000000,9678.877930,4327400
2019-05-27,10825.000000,11450.000000,10750.000000,11375.000000,10194.189453,8241700
2019-05-28,11400.000000,11400.000000,11050.000000,11050.000000,9902.925781,11674100
2019-05-29,10850.000000,11400.000000,10850.000000,11200.000000,10037.356445,7786400
2019-05-30,11200.000000,11200.000000,11200.000000,11200.000000,10037.356445,0
2019-05-31,11300.000000,11550.000000,11175.000000,11550.000000,10351.024414,9457200
2019-06-03,11550.000000,11550.000000,11550.000000,11550.000000,10351.024414,0
2019-06-04,11550.000000,11550.000000,11550.000000,11550.000000,10351.024414,0
2019-06-05,11550.000000,11550.000000,11550.000000,11550.000000,10351.024414,0
2019-06-06,11550.000000,11550.000000,11550.000000,11550.000000,10351.024414,0
2019-06-07,11550.000000,11550.000000,11550.000000,11550.000000,10351.024414,0
2019-06-10,11575.000000,12275.000000,11450.000000,12175.000000,11110.325195,13000300
2019-06-11,12200.000000,12400.000000,11800.000000,11975.000000,10927.814453,13226300
2019-06-12,11700.000000,11950.000000,11500.000000,11600.000000,10585.607422,6799900
2019-06-13,11600.000000,11675.000000,11425.000000,11475.000000,10471.537109,6928700
2019-06-14,11600.000000,11700.000000,11450.000000,11450.000000,10448.724609,4614400
2019-06-17,11625.000000,11675.000000,11450.000000,11600.000000,10585.607422,3749200
2019-06-18,11750.000000,11750.000000,11275.000000,11450.000000,10448.724609,9505000
2019-06-19,null,null,null,null,null,null
2019-06-20,11600.000000,11725.000000,11325.000000,11425.000000,10425.911133,12831800
2019-06-21,11500.000000,11500.000000,10950.000000,11375.000000,10380.283203,16849100
2019-06-24,11375.000000,11400.000000,11125.000000,11300.000000,10311.841797,4393700
2019-06-25,11375.000000,11475.000000,11250.000000,11450.000000,10448.724609,4680300
2019-06-26,11450.000000,11500.000000,11300.000000,11450.000000,10448.724609,4816100
2019-06-27,11375.000000,11725.000000,11275.000000,11625.000000,10608.421875,6940700
2019-06-28,11650.000000,11700.000000,11475.000000,11575.000000,10562.792969,5584500
2019-07-01,11700.000000,12500.000000,11650.000000,12475.000000,11384.090820,15953900
2019-07-02,12500.000000,12775.000000,12150.000000,12700.000000,11589.415039,11241800
2019-07-03,12725.000000,12725.000000,12500.000000,12700.000000,11589.415039,4876600
2019-07-04,12900.000000,12900.000000,12525.000000,12575.000000,11475.345703,4152400
2019-07-05,12600.000000,12650.000000,12525.000000,12600.000000,11498.159180,4471100
2019-07-08,12525.000000,12525.000000,12025.000000,12225.000000,11155.953125,3076000
2019-07-09,12025.000000,12475.000000,12025.000000,12425.000000,11338.461914,2742400
2019-07-10,12525.000000,12550.000000,12150.000000,12550.000000,11452.532227,4933000
2019-07-11,12550.000000,12550.000000,12225.000000,12425.000000,11338.461914,4978700
2019-07-12,12375.000000,12425.000000,12325.000000,12400.000000,11315.649414,4112600
2019-07-15,12475.000000,12525.000000,12225.000000,12500.000000,11406.904297,5850900
2019-07-16,12600.000000,12600.000000,12325.000000,12350.000000,11270.020508,4630100
2019-07-17,12350.000000,12525.000000,12250.000000,12500.000000,11406.904297,5564200
2019-07-18,12500.000000,12675.000000,12475.000000,12550.000000,11452.532227,7747500
2019-07-19,12550.000000,12750.000000,12475.000000,12575.000000,11475.345703,5835100
2019-07-22,12700.000000,12700.000000,12325.000000,12450.000000,11361.277344,2874900
2019-07-23,12500.000000,12675.000000,12350.000000,12525.000000,11429.717773,10858300
2019-07-24,12700.000000,12750.000000,12525.000000,12600.000000,11498.159180,12105700
