Date,Open,High,Low,Close,Adj Close,Volume
2019-02-14,18650.000000,18775.000000,18000.000000,18300.000000,14978.056641,684600
2019-02-15,18500.000000,18500.000000,17975.000000,17975.000000,14712.053711,1073800
2019-02-18,18425.000000,18500.000000,18100.000000,18375.000000,15039.441406,929700
2019-02-19,18200.000000,18500.000000,18000.000000,18000.000000,14732.515625,1077900
2019-02-20,18250.000000,19625.000000,18250.000000,19500.000000,15960.222656,1940200
2019-02-21,19500.000000,19900.000000,19400.000000,19900.000000,16287.614258,915100
2019-02-22,19800.000000,19800.000000,19150.000000,19275.000000,15776.067383,1440400
2019-02-25,19275.000000,19750.000000,19275.000000,19750.000000,16164.842773,961900
2019-02-26,19750.000000,20000.000000,19350.000000,19875.000000,16267.153320,2175400
2019-02-27,19525.000000,19650.000000,19225.000000,19225.000000,15735.145508,1651600
2019-02-28,19150.000000,19575.000000,18700.000000,19225.000000,15735.145508,2116200
2019-03-01,19225.000000,19275.000000,18625.000000,19175.000000,15694.222656,1397100
2019-03-04,19425.000000,19500.000000,18875.000000,18975.000000,15530.526367,1225500
2019-03-05,19075.000000,19200.000000,18825.000000,18825.000000,15407.755859,706900
2019-03-06,19000.000000,19950.000000,19000.000000,19925.000000,16308.075195,1231900
2019-03-07,19925.000000,19925.000000,19925.000000,19925.000000,16308.075195,0
2019-03-08,19925.000000,19925.000000,19000.000000,19400.000000,15878.376953,1141400
2019-03-11,19375.000000,19400.000000,18900.000000,19050.000000,15591.911133,720000
2019-03-12,19000.000000,19225.000000,18500.000000,18700.000000,15305.446289,990000
2019-03-13,18600.000000,19000.000000,18600.000000,18800.000000,15387.294922,489000
2019-03-14,18650.000000,18925.000000,18500.000000,18625.000000,15244.061523,615600
2019-03-15,18625.000000,19125.000000,18625.000000,19000.000000,15550.989258,1238800
2019-03-18,18850.000000,19200.000000,18850.000000,19200.000000,15714.681641,1476400
2019-03-19,19600.000000,19850.000000,19425.000000,19600.000000,16042.074219,829300
2019-03-20,19500.000000,19775.000000,19425.000000,19500.000000,15960.222656,774400
2019-03-21,19700.000000,21075.000000,19650.000000,20925.000000,17126.548828,4206000
2019-03-22,21050.000000,21250.000000,20825.000000,21000.000000,17187.933594,1894000
2019-03-25,21025.000000,21100.000000,20575.000000,20700.000000,16942.392578,1638600
2019-03-26,20775.000000,21700.000000,20775.000000,21325.000000,17453.939453,1737600
2019-03-27,21525.000000,22075.000000,21000.000000,21025.000000,17208.394531,1326900
2019-03-28,21300.000000,22400.000000,21200.000000,21475.000000,17576.708984,1880600
2019-03-29,21900.000000,21925.000000,21050.000000,21350.000000,17474.400391,1128700
2019-04-01,22400.000000,22425.000000,21900.000000,22300.000000,18251.949219,2177600
2019-04-02,22500.000000,22500.000000,22175.000000,22300.000000,18251.949219,906100
2019-04-03,22300.000000,22300.000000,22300.000000,22300.000000,18251.949219,0
2019-04-04,22500.000000,22525.000000,22225.000000,22450.000000,18374.720703,661700
2019-04-05,22700.000000,22700.000000,22075.000000,22200.000000,18170.101563,223500
2019-04-08,22025.000000,22225.000000,21525.000000,21800.000000,17842.712891,441300
2019-04-09,22350.000000,22500.000000,22050.000000,22325.000000,18272.412109,587200
2019-04-10,22025.000000,22475.000000,22025.000000,22225.000000,18190.562500,477700
2019-04-11,22400.000000,22400.000000,22075.000000,22150.000000,18129.177734,473200
2019-04-12,21475.000000,21800.000000,20850.000000,21175.000000,17331.167969,1016300
2019-04-15,21125.000000,21450.000000,20500.000000,20975.000000,17167.470703,1145800
2019-04-16,21125.000000,22200.000000,21075.000000,21500.000000,17597.169922,1008300
2019-04-17,21500.000000,21500.000000,21500.000000,21500.000000,17597.169922,0
2019-04-18,22575.000000,22600.000000,21350.000000,21850.000000,17883.634766,2795700
